GitHub username,Weeks with merged PR,Years with merged PR,Number years active,Oldest PR,Total contributions
saurabh02,6,2016,1,https://github.com/materialsproject/pymatgen/pull/2048,26
wood-b,11,"2016, 2017, 2018",3,https://github.com/materialsproject/pymatgen/pull/2048,25
tschaume,10,"2018, 2019, 2014, 2015",4,https://github.com/materialsproject/pymatgen/pull/2048,25
ucsdlxg,7,"2017, 2018",2,https://github.com/materialsproject/pymatgen/pull/2048,24
ab5424,10,"2020, 2021, 2022, 2023",4,https://github.com/materialsproject/pymatgen/pull/2048,24
mcocdawc,3,2017,1,https://github.com/materialsproject/pymatgen/pull/2048,23
ScottNotFound,4,"2022, 2023",2,https://github.com/materialsproject/pymatgen/pull/2048,23
yimingchen-eng,5,"2017, 2019, 2020",3,https://github.com/materialsproject/pymatgen/pull/2048,22
bwjustus,7,"2020, 2021",2,https://github.com/materialsproject/pymatgen/pull/2048,22
yang-ruoxi,8,"2021, 2022, 2023",3,https://github.com/materialsproject/pymatgen/pull/2048,20
dangunter,6,"2011, 2012",2,https://github.com/materialsproject/pymatgen/pull/2048,20
ardunn,5,"2019, 2021",2,https://github.com/materialsproject/pymatgen/pull/2048,19
aykol,5,"2016, 2017",2,https://github.com/materialsproject/pymatgen/pull/2048,18
fekad,5,2020,1,https://github.com/materialsproject/pymatgen/pull/2048,17
knc6,5,"2019, 2020",2,https://github.com/materialsproject/pymatgen/pull/2048,17
guymoore13,5,"2019, 2020",2,https://github.com/materialsproject/pymatgen/pull/2048,16
ayushsgupta,5,2020,1,https://github.com/materialsproject/pymatgen/pull/2048,16
mjwen,3,2022,1,https://github.com/materialsproject/pymatgen/pull/2048,16
MichaelWolloch,7,"2021, 2022, 2023",3,https://github.com/materialsproject/pymatgen/pull/2048,16
navnidhirajput,4,2013,1,https://github.com/materialsproject/pymatgen/pull/2048,15
kavanase,6,"2020, 2021, 2022, 2023",4,https://github.com/materialsproject/pymatgen/pull/2048,15
acrutt,6,"2020, 2021, 2022",3,https://github.com/materialsproject/pymatgen/pull/2048,14
rousseab,6,"2014, 2015",2,https://github.com/materialsproject/pymatgen/pull/2048,14
lan496,5,"2019, 2020, 2022",3,https://github.com/materialsproject/pymatgen/pull/2048,14
vivid0036,5,"2016, 2014",2,https://github.com/materialsproject/pymatgen/pull/2048,13
specter119,8,"2016, 2017, 2018",3,https://github.com/materialsproject/pymatgen/pull/2048,13
orionarcher,7,"2020, 2021, 2022, 2023",4,https://github.com/materialsproject/pymatgen/pull/2048,12
Bismarrck,5,2015,1,https://github.com/materialsproject/pymatgen/pull/2048,12
zacharygibbs,4,"2013, 2014",2,https://github.com/materialsproject/pymatgen/pull/2048,11
albalu,6,"2017, 2018",2,https://github.com/materialsproject/pymatgen/pull/2048,11
adengz,8,"2017, 2019, 2014, 2015",4,https://github.com/materialsproject/pymatgen/pull/2048,10
naik-aakash,7,"2022, 2023",2,https://github.com/materialsproject/pymatgen/pull/2048,10
cnncnnzh,3,"2022, 2023",2,https://github.com/materialsproject/pymatgen/pull/2048,10
kylebystrom,3,2019,1,https://github.com/materialsproject/pymatgen/pull/2048,10
Tinaatucsd,4,"2017, 2018, 2019",3,https://github.com/materialsproject/pymatgen/pull/2048,9
wuxiaohua1011,4,"2020, 2021",2,https://github.com/materialsproject/pymatgen/pull/2048,9
ml-evs,6,"2021, 2023",2,https://github.com/materialsproject/pymatgen/pull/2048,9
resnant,4,2018,1,https://github.com/materialsproject/pymatgen/pull/2048,8
jdagdelen,5,"2017, 2018",2,https://github.com/materialsproject/pymatgen/pull/2048,8
Qi-max,1,2018,1,https://github.com/materialsproject/pymatgen/pull/2048,8
jacksund,3,"2020, 2022",2,https://github.com/materialsproject/pymatgen/pull/2048,8
